| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  4.99e+07    9.40 |    6.41    2.2    100     2 |    0.06   0.40  -0.14   0.00
0  5.00e+07    9.40 |    5.87    2.6     97     3 |    0.06   0.60  -0.03   0.00
0  5.00e+07    9.40 |    5.93    2.9     98     3 |    0.06   0.45   0.06   0.00
0  5.00e+07    9.40 |    4.35    2.6    100     3 |    0.07   0.25   0.07   0.00
0  5.01e+07    9.40 |    2.75    0.2     99     2 |    0.06   0.37   0.03   0.00
0  5.01e+07    9.40 |    5.18    2.1     98     3 |    0.05   0.51   0.02   0.00
0  5.01e+07    9.40 |    5.47    2.7    100     2 |    0.05   0.45  -0.14   0.00
0  5.01e+07    9.40 |    7.00    2.4     97     3 |    0.06   0.46  -0.06   0.00
0  5.02e+07    9.40 |    4.93    2.2    103     1 |    0.05   0.31   0.02   0.00
0  5.02e+07    9.40 |    4.22    2.3     99     2 |    0.06   0.31  -0.02   0.00
0  5.02e+07    9.40 |    4.56    2.6     98     2 |    0.05   0.29   0.00   0.00
0  5.03e+07    9.40 |    6.68    2.2     99     2 |    0.07   0.17  -0.06   0.00
0  5.03e+07    9.40 |    7.99    0.6     96     2 |    0.07   0.19  -0.04   0.00
0  5.03e+07    9.40 |    6.02    1.9    101     2 |    0.06   0.45   0.00   0.00
0  5.04e+07    9.40 |    6.19    1.9    101     1 |    0.06   0.42   0.05   0.00
0  5.04e+07    9.40 |    5.20    1.7     99     3 |    0.06   0.45  -0.04   0.00
0  5.04e+07    9.40 |    5.47    2.4     99     2 |    0.06   0.51   0.01   0.00
0  5.05e+07    9.40 |    4.51    2.2     99     3 |    0.06   0.43  -0.11   0.00
0  5.05e+07    9.40 |    5.66    2.0     98     3 |    0.06   0.29   0.10   0.00
0  5.05e+07    9.40 |    4.61    2.6     98     2 |    0.05   0.31   0.03   0.00
0  5.05e+07    9.40 |    8.02    0.6     99     2 |    0.06   0.35  -0.12   0.00
0  5.06e+07    9.40 |    8.41    0.4     98     1 |    0.06   0.42  -0.15   0.00
0  5.06e+07    9.40 |    7.98    1.0     99     3 |    0.05   0.42   0.04   0.00
0  5.06e+07    9.40 |    6.64    2.0     98     3 |    0.07   0.32  -0.00   0.00
0  5.07e+07    9.40 |    6.67    2.3     98     3 |    0.06   0.52   0.01   0.00
0  5.07e+07    9.40 |    6.16    1.9     99     2 |    0.06   0.28   0.10   0.00
0  5.07e+07    9.40 |    6.65    2.1     99     1 |    0.05   0.50   0.04   0.00
0  5.08e+07    9.40 |    6.44    2.3     99     3 |    0.05   0.45  -0.05   0.00
0  5.08e+07    9.40 |    4.50    2.4     99     2 |    0.06   0.40   0.08   0.00
0  5.08e+07    9.40 |    7.81    0.9     99     3 |    0.06   0.37   0.14   0.00
0  5.09e+07    9.40 |    5.46    2.3     98     1 |    0.06   0.39  -0.08   0.00
0  5.09e+07    9.40 |    7.85    0.9     99     3 |    0.06   0.38  -0.08   0.00
0  5.09e+07    9.40 |    5.70    2.6     98     3 |    0.07   0.28   0.02   0.00
0  5.09e+07    9.40 |    5.46    2.3     98     1 |    0.06   0.48  -0.11   0.00
0  5.10e+07    9.40 |    3.88    1.6     99     2 |    0.05   0.49   0.05   0.00
0  5.10e+07    9.40 |    5.15    2.2     97     3 |    0.05   0.48   0.13   0.00
0  5.10e+07    9.40 |    5.17    2.5     96     3 |    0.06   0.50   0.12   0.00
0  5.11e+07    9.40 |    5.32    2.5     96     3 |    0.05   0.39  -0.11   0.00
0  5.11e+07    9.40 |    4.94    2.6     99     4 |    0.06   0.26  -0.10   0.00
0  5.11e+07    9.40 |    7.96    0.7     97     3 |    0.06   0.36  -0.14   0.00
0  5.12e+07    9.40 |    7.22    2.5     96     3 |    0.04   0.30   0.06   0.00
0  5.12e+07    9.40 |    3.96    1.9    101     2 |    0.07   0.37  -0.06   0.00
0  5.12e+07    9.40 |    5.10    2.1     99     2 |    0.07   0.35   0.01   0.00
0  5.13e+07    9.40 |    5.87    2.7     96     2 |    0.06   0.38   0.15   0.00
0  5.13e+07    9.40 |    4.22    1.8     98     2 |    0.06   0.41   0.15   0.00
0  5.13e+07    9.40 |    3.06    0.3     99     3 |    0.06   0.50   0.04   0.00
0  5.13e+07    9.40 |    4.68    2.4     96     2 |    0.06   0.50  -0.08   0.00
0  5.14e+07    9.40 |    5.86    2.8     99     4 |    0.05   0.45  -0.02   0.00
0  5.14e+07    9.40 |    6.90    1.9     97     2 |    0.06   0.32  -0.06   0.00
0  5.14e+07    9.40 |    6.39    2.0    100     4 |    0.07   0.49   0.01   0.00
0  5.15e+07    9.40 |    6.87    2.3     98     2 |    0.06   0.28  -0.07   0.00
0  5.15e+07    9.40 |    4.55    2.6    100     4 |    0.06   0.43   0.01   0.00
0  5.15e+07    9.40 |    8.25    0.6     97     2 |    0.06   0.40  -0.21   0.00
0  5.16e+07    9.40 |    6.07    2.9     96     2 |    0.06   0.34  -0.04   0.00
0  5.16e+07    9.40 |    6.99    2.4     99     2 |    0.06   0.30   0.02   0.00
0  5.16e+07    9.40 |    6.58    2.2    100     2 |    0.06   0.44  -0.10   0.00
0  5.17e+07    9.40 |    7.03    2.6    100     4 |    0.06   0.45  -0.10   0.00
0  5.17e+07    9.40 |    6.01    2.8     96     2 |    0.05   0.43  -0.07   0.00
0  5.17e+07    9.40 |    4.35    2.2    100     1 |    0.07   0.34   0.03   0.00
0  5.17e+07    9.40 |    5.33    2.5    101     2 |    0.05   0.30  -0.13   0.00
0  5.18e+07    9.40 |    5.16    2.0    102     2 |    0.06   0.41  -0.03   0.00
0  5.18e+07    9.40 |    5.97    2.7     98     4 |    0.06   0.41   0.05   0.00
0  5.18e+07    9.40 |    6.91    2.3     99     3 |    0.06   0.41  -0.04   0.00
0  5.19e+07    9.40 |    7.13    2.6     99     4 |    0.07   0.31  -0.04   0.00
0  5.19e+07    9.40 |    3.12    0.3    100     2 |    0.06   0.30  -0.07   0.00
0  5.19e+07    9.40 |    6.55    1.9     99     2 |    0.06   0.34  -0.15   0.00
0  5.20e+07    9.40 |    7.95    0.5     99     2 |    0.07   0.28  -0.07   0.00
0  5.20e+07    9.40 |    5.29    2.0    100     2 |    0.07   0.36   0.04   0.00
0  5.20e+07    9.40 |    7.04    0.3    102     1 |    0.06   0.46   0.06   0.00
0  5.20e+07    9.40 |    5.66    2.6     99     3 |    0.06   0.44  -0.12   0.00
0  5.21e+07    9.40 |    5.99    2.8     98     4 |    0.06   0.36   0.05   0.00
0  5.21e+07    9.40 |    7.20    2.5     97     2 |    0.07   0.28  -0.15   0.00
0  5.21e+07    9.40 |    7.07    2.1     98     3 |    0.07   0.33   0.01   0.00
0  5.22e+07    9.40 |    4.61    1.9     97     3 |    0.05   0.51  -0.01   0.00
0  5.22e+07    9.40 |    5.51    2.5    100     3 |    0.06   0.31  -0.04   0.00
0  5.22e+07    9.40 |    5.57    2.3     96     3 |    0.05   0.46   0.01   0.00
0  5.23e+07    9.40 |    6.48    2.0    101     3 |    0.06   0.54   0.05   0.00
0  5.23e+07    9.40 |    5.18    2.2    100     4 |    0.06   0.34  -0.08   0.00
0  5.23e+07    9.40 |    5.57    2.7    100     4 |    0.07   0.31  -0.10   0.00
0  5.24e+07    9.40 |    5.79    2.7    100     3 |    0.06   0.39  -0.07   0.00
0  5.24e+07    9.40 |    4.51    2.4     99     3 |    0.07   0.39  -0.01   0.00
0  5.24e+07    9.40 |    6.55    1.8     98     4 |    0.05   0.32   0.08   0.00
0  5.24e+07    9.40 |    8.46    0.9     97     4 |    0.05   0.46  -0.02   0.00
0  5.25e+07    9.40 |    8.11    0.9    100     4 |    0.05   0.36   0.24   0.00
0  5.25e+07    9.40 |    8.83    0.6     96     3 |    0.08   0.26  -0.04   0.00
0  5.25e+07    9.40 |    4.47    1.5     98     3 |    0.06   0.43   0.06   0.00
0  5.26e+07    9.40 |    7.81    0.7    101     3 |    0.07   0.32  -0.05   0.00
0  5.26e+07    9.40 |    7.05    2.5     99     4 |    0.07   0.30   0.02   0.00
0  5.26e+07    9.40 |    7.21    2.2     98     2 |    0.07   0.33  -0.06   0.00
0  5.27e+07    9.40 |    5.58    2.4    100     3 |    0.06   0.48   0.07   0.00
0  5.27e+07    9.40 |    8.17    0.6     98     3 |    0.06   0.27   0.08   0.00
0  5.27e+07    9.40 |    4.23    2.2    100     3 |    0.06   0.40   0.06   0.00
0  5.28e+07    9.40 |    6.33    2.0     99     1 |    0.06   0.35   0.05   0.00
0  5.28e+07    9.40 |    5.38    2.4     97     3 |    0.05   0.35   0.02   0.00
0  5.28e+07    9.40 |    5.01    2.0     99     4 |    0.05   0.38  -0.01   0.00
0  5.28e+07    9.40 |    7.18    2.3     96     4 |    0.05   0.49  -0.00   0.00
0  5.29e+07    9.40 |    5.35    2.2     98     2 |    0.06   0.47  -0.06   0.00
0  5.29e+07    9.40 |    4.12    2.2    100     3 |    0.05   0.39   0.13   0.00
0  5.29e+07    9.40 |    4.73    1.9    101     3 |    0.05   0.41   0.04   0.00
0  5.30e+07    9.40 |    5.99    1.6    100     3 |    0.06   0.39   0.12   0.00
0  5.30e+07    9.40 |    4.19    1.7     98     4 |    0.06   0.36  -0.10   0.00
0  5.30e+07    9.40 |    6.08    2.8     96     2 |    0.07   0.43  -0.11   0.00
0  5.31e+07    9.40 |    4.49    2.4    100     2 |    0.06   0.47  -0.03   0.00
0  5.31e+07    9.40 |    4.41    2.4     98     2 |    0.06   0.31   0.02   0.00
0  5.31e+07    9.40 |    3.70    1.8    100     1 |    0.05   0.39   0.05   0.00
0  5.32e+07    9.40 |    3.93    1.8    100     1 |    0.05   0.43  -0.01   0.00
0  5.32e+07    9.40 |    3.88    1.7     99     2 |    0.05   0.51  -0.20   0.00
0  5.32e+07    9.40 |    5.36    2.5     97     3 |    0.05   0.46   0.03   0.00
0  5.32e+07    9.40 |    4.91    2.0     98     2 |    0.05   0.40   0.06   0.00
0  5.33e+07    9.40 |    5.82    1.8     96     3 |    0.05   0.29   0.09   0.00
0  5.33e+07    9.40 |    5.97    1.9     99     3 |    0.06   0.35   0.04   0.00
0  5.33e+07    9.40 |    3.77    1.6     96     3 |    0.06   0.41   0.16   0.00
0  5.34e+07    9.40 |    3.89    1.9     96     3 |    0.05   0.43  -0.15   0.00
0  5.34e+07    9.40 |    7.70    0.2     96     2 |    0.06   0.43  -0.01   0.00
0  5.34e+07    9.40 |    6.26    2.1    100     3 |    0.05   0.51  -0.10   0.00
0  5.35e+07    9.40 |    5.84    1.8    102     2 |    0.05   0.48  -0.00   0.00
0  5.35e+07    9.40 |    6.03    2.8     96     2 |    0.06   0.53   0.14   0.00
0  5.35e+07    9.40 |    4.19    2.3    101     2 |    0.05   0.41  -0.21   0.00
0  5.35e+07    9.40 |    5.69    2.9     99     4 |    0.06   0.41  -0.09   0.00
0  5.36e+07    9.40 |    7.37    2.2     96     2 |    0.06   0.32  -0.03   0.00
0  5.36e+07    9.40 |    5.81    2.7     98     2 |    0.05   0.49  -0.12   0.00
0  5.36e+07    9.40 |    5.70    2.9     99     5 |    0.05   0.47   0.05   0.00
0  5.37e+07    9.40 |    5.49    2.3     98     3 |    0.06   0.32  -0.08   0.00
0  5.37e+07    9.40 |    7.23    2.4     98     2 |    0.05   0.38   0.09   0.00
0  5.37e+07    9.40 |    4.46    2.0     98     3 |    0.07   0.31  -0.04   0.00
0  5.38e+07    9.40 |    5.36    2.3    100     4 |    0.06   0.44  -0.11   0.00
0  5.38e+07    9.40 |    7.82    0.6     98     3 |    0.05   0.42   0.08   0.00
0  5.38e+07    9.40 |    5.47    2.6    101     4 |    0.07   0.39  -0.06   0.00
0  5.39e+07    9.40 |    6.88    2.0     98     3 |    0.06   0.28   0.07   0.00
0  5.39e+07    9.40 |    5.77    2.5    100     2 |    0.05   0.35  -0.05   0.00
0  5.39e+07    9.40 |    7.13    2.4     99     2 |    0.06   0.34   0.03   0.00
0  5.39e+07    9.40 |    6.58    2.0     98     1 |    0.06   0.15   0.00   0.00
0  5.40e+07    9.40 |    5.78    2.8     97     5 |    0.06   0.16  -0.06   0.00
0  5.40e+07    9.40 |    4.40    2.4    100     4 |    0.06   0.35  -0.06   0.00
0  5.40e+07    9.40 |    4.68    2.3     98     3 |    0.05   0.52   0.13   0.00
0  5.41e+07    9.40 |    6.00    2.8     99     4 |    0.06   0.57   0.08   0.00
0  5.41e+07    9.40 |    5.30    2.5    100     2 |    0.06   0.52  -0.19   0.00
0  5.41e+07    9.40 |    6.64    3.0    101     3 |    0.07   0.54   0.10   0.00
0  5.42e+07    9.40 |    7.02    3.0    100     3 |    0.09   0.41   0.02   0.00
0  5.42e+07    9.40 |    5.58    2.5    102     4 |    0.08   0.25  -0.03   0.00
0  5.42e+07    9.40 |    7.34    3.1    100     3 |    0.09   0.36   0.02   0.00
0  5.43e+07   10.00 |
0  5.43e+07   10.00 |   10.00    0.3    104     1 |    0.08   0.38  -0.07   0.00
0  5.43e+07   10.00 |    9.49    3.1     98     3 |    0.09   0.36   0.01   0.00
0  5.43e+07   11.04 |
0  5.43e+07   11.04 |   11.04    0.3    100     2 |    0.09   0.33  -0.06   0.00
0  5.43e+07   11.04 |    5.89    2.8    101     3 |    0.08   0.37  -0.00   0.00
0  5.44e+07   11.04 |    8.73    2.8     99     3 |    0.08   0.44   0.04   0.00
0  5.44e+07   11.04 |   10.25    0.5    100     4 |    0.08   0.37  -0.04   0.00
0  5.44e+07   11.04 |    9.00    2.8     99     4 |    0.09   0.39   0.05   0.00
0  5.45e+07   11.04 |    8.47    2.4    100     3 |    0.08   0.42  -0.08   0.00
0  5.45e+07   11.04 |   10.51    3.2     96     1 |    0.07   0.41   0.16   0.00
0  5.45e+07   11.04 |    8.24    3.6    101     2 |    0.10   0.42  -0.06   0.00
0  5.46e+07   11.04 |    9.39    2.9    104     1 |    0.09   0.26  -0.18   0.00
0  5.46e+07   11.04 |    8.79    4.0    100     4 |    0.08   0.32   0.09   0.00
0  5.46e+07   11.04 |    8.84    3.4    102     4 |    0.10   0.37   0.04   0.00
0  5.47e+07   13.64 |
0  5.47e+07   13.64 |   13.64    0.6    102     3 |    0.10   0.42   0.03   0.00
0  5.47e+07   13.64 |   13.61    0.6    102     3 |    0.10   0.41  -0.02   0.00
0  5.47e+07   13.64 |   11.74    3.8    102     3 |    0.10   0.36  -0.03   0.00
0  5.48e+07   13.64 |   12.48    3.8     98     3 |    0.09   0.56  -0.02   0.00
0  5.48e+07   15.04 |
0  5.48e+07   15.04 |   15.04    0.6    101     4 |    0.11   0.46   0.06   0.00
0  5.48e+07   15.43 |
0  5.48e+07   15.43 |   15.43    0.8    103     4 |    0.11   0.41   0.12   0.00
0  5.48e+07   15.43 |   14.22    0.6    104     2 |    0.12   0.52   0.10   0.00
0  5.49e+07   15.86 |
0  5.49e+07   15.86 |   15.86    0.6    104     3 |    0.12   0.47  -0.06   0.00
0  5.49e+07   16.42 |
0  5.49e+07   16.42 |   16.42    0.9    104     4 |    0.12   0.47  -0.06   0.00
0  5.49e+07   16.42 |   14.09    3.9    104     4 |    0.11   0.47  -0.08   0.00
0  5.50e+07   16.88 |
0  5.50e+07   16.88 |   16.88    1.2    104     4 |    0.11   0.49   0.07   0.00
0  5.50e+07   18.03 |
0  5.50e+07   18.03 |   18.03    0.9    102     3 |    0.13   0.39   0.03   0.00
0  5.50e+07   18.03 |   15.11    4.1    106     4 |    0.13   0.55  -0.11   0.00
0  5.51e+07   18.03 |   16.76    4.9    107     2 |    0.13   0.54  -0.03   0.00
0  5.51e+07   19.90 |
0  5.51e+07   19.90 |   19.90    0.5    105     2 |    0.16   0.26  -0.05   0.00
0  5.51e+07   22.09 |
0  5.51e+07   22.09 |   22.09    1.2    105     5 |    0.17   0.43  -0.09   0.00
0  5.52e+07   22.09 |   21.56    6.7    106     4 |    0.18   0.41   0.07   0.00
0  5.52e+07   22.09 |   13.01    6.1    110     2 |    0.12   0.26   0.03   0.00
0  5.52e+07   22.09 |   15.30    8.3    110     2 |    0.20   0.39  -0.08   0.00
0  5.53e+07   27.12 |
0  5.53e+07   27.12 |   27.12    8.8    107     2 |    0.19   0.49   0.13   0.00
0  5.53e+07   30.60 |
0  5.53e+07   30.60 |   30.60    1.6    108     4 |    0.23   0.24   0.05   0.00
0  5.53e+07   30.60 |   16.68    8.8    109     5 |    0.27   0.22   0.14   0.00
0  5.54e+07   32.53 |
0  5.54e+07   32.53 |   32.53    1.0    108     3 |    0.27   0.15   0.15   0.00
0  5.54e+07   33.12 |
0  5.54e+07   33.12 |   33.12    0.6    107     2 |    0.31   0.08  -0.08   0.00
0  5.54e+07   33.12 |   24.37   11.8    108     3 |    0.27   0.37  -0.01   0.00
0  5.54e+07   33.12 |   28.01   10.1    112     3 |    0.29   0.31  -0.05   0.00
0  5.55e+07   34.06 |
0  5.55e+07   34.06 |   34.06   11.1    117     1 |    0.31   0.27  -0.07   0.00
0  5.55e+07   34.06 |   33.13    1.5    112     2 |    0.32   0.22   0.09   0.00
0  5.55e+07   34.06 |   23.43   11.9    112     2 |    0.32   0.33  -0.01   0.00
0  5.56e+07   34.06 |   13.24    0.4    113     2 |    0.31   0.40   0.21   0.00
0  5.56e+07   39.44 |
0  5.56e+07   39.44 |   39.44   11.3    114     2 |    0.32   0.18  -0.02   0.00
0  5.56e+07   39.44 |   23.64   11.4    116     3 |    0.34   0.26   0.12   0.00
0  5.57e+07   48.28 |
0  5.57e+07   48.28 |   48.28   16.9    118     3 |    0.36   0.28   0.13   0.00
0  5.57e+07   51.29 |
0  5.57e+07   51.29 |   51.29    1.4    121     2 |    0.27   0.29   0.08   0.00
0  5.57e+07   51.29 |   51.16    2.2    122     2 |    0.40   0.35  -0.13   0.00
0  5.58e+07   51.56 |
0  5.58e+07   51.56 |   51.56    3.2    118     4 |    0.38   0.25  -0.11   0.00
0  5.58e+07   51.56 |    3.72    0.5    110     3 |   -0.02   0.27  -0.08   0.00
0  5.58e+07   51.56 |    4.35    1.9    102     3 |    0.04   0.33  -0.04   0.00
0  5.59e+07   51.56 |    5.14    2.6    101     2 |    0.05   0.29   0.02   0.00
0  5.59e+07   51.56 |    4.31    2.5    104     3 |    0.04   0.15   0.01   0.00
0  5.59e+07   51.56 |    5.37    2.6    102     3 |    0.05   0.38   0.04   0.00
0  5.60e+07   51.56 |    4.91    2.1    103     1 |    0.05   0.39   0.08   0.00
0  5.60e+07   51.56 |    5.80    0.3    111     1 |    0.05   0.01  -0.04   0.00
0  5.60e+07   51.56 |   29.19    0.4    112     3 |    0.20   0.34  -0.09   0.00
0  5.61e+07   51.56 |   11.20    0.7    111     3 |    0.21   0.36  -0.09   0.00
0  5.61e+07   51.56 |   21.35    9.5    114     3 |    0.25   0.26  -0.04   0.00
0  5.61e+07   51.56 |   17.15    7.8    114     4 |    0.27   0.12  -0.03   0.00
0  5.61e+07   51.56 |   23.83   11.7    114     2 |    0.18   0.43  -0.04   0.00
0  5.62e+07   51.56 |   40.33    1.0    114     2 |    0.30   0.25  -0.03   0.00
0  5.62e+07   51.56 |   39.92    1.8    113     4 |    0.30   0.16   0.04   0.00
0  5.62e+07   51.56 |   42.45    3.4    113     4 |    0.27   0.34   0.05   0.00
0  5.63e+07   51.56 |   42.09    2.0    118     2 |    0.28   0.32   0.04   0.00
0  5.63e+07   52.58 |
0  5.63e+07   52.58 |   52.58    1.8    120     2 |    0.32   0.27  -0.04   0.00
0  5.63e+07   52.58 |   50.58    0.3    117     1 |    0.34   0.26   0.09   0.00
0  5.64e+07   52.58 |   47.82    1.7    119     2 |    0.35   0.16   0.03   0.00
0  5.64e+07   52.58 |   44.08    2.3    116     3 |    0.37   0.13   0.05   0.00
0  5.64e+07   54.69 |
0  5.64e+07   54.69 |   54.69    3.0    118     2 |    0.38   0.18  -0.13   0.00
0  5.65e+07   58.95 |
0  5.65e+07   58.95 |   58.95    5.5    120     3 |    0.39   0.16  -0.03   0.00
0  5.65e+07   58.95 |   36.70   16.4    123     3 |    0.42   0.28  -0.06   0.00
0  5.65e+07   64.46 |
0  5.65e+07   64.46 |   64.46    0.9    120     1 |    0.43   0.24  -0.04   0.00
0  5.66e+07   70.70 |
0  5.66e+07   70.70 |   70.70    3.9    121     0 |    0.42   0.38  -0.06   0.00
0  5.66e+07   70.70 |   64.56    6.9    124     2 |    0.52   0.14  -0.03   0.00
0  5.66e+07   72.01 |
0  5.66e+07   72.01 |   72.01   26.2    128     1 |    0.54   0.28  -0.10   0.00
0  5.67e+07   72.01 |   54.06   24.8    138    11 |    0.52   0.29   0.06   0.00
0  5.67e+07   78.08 |
0  5.67e+07   78.08 |   78.08    7.2    126     2 |    0.53   0.11   0.06   0.00
0  5.67e+07   78.08 |   67.45   19.0    128     1 |    0.48   0.25  -0.08   0.00
0  5.68e+07   79.07 |
0  5.68e+07   79.07 |   79.07   11.2    129     5 |    0.54   0.22  -0.01   0.00
0  5.68e+07   79.07 |   34.36    4.2    160    19 |    0.40   0.25  -0.05   0.00
0  5.68e+07   79.07 |   27.73    2.5    172    23 |    0.44   0.28   0.07   0.00
0  5.69e+07   79.07 |   72.89   25.2    135     0 |    0.46   0.35   0.06   0.00
0  5.69e+07   79.07 |   31.07    1.8    141    14 |    0.56   0.20   0.04   0.00
0  5.69e+07   79.07 |   48.88   20.7    144     7 |    0.40   0.24  -0.00   0.00
0  5.70e+07   79.07 |   73.95   24.4    134     2 |    0.50   0.16   0.10   0.00
0  5.70e+07   79.07 |   52.26   25.3    202    38 |    0.46   0.17  -0.16   0.00
0  5.70e+07   79.07 |   70.21   18.0    132     1 |    0.58   0.21  -0.03   0.00
0  5.71e+07   94.48 |
0  5.71e+07   94.48 |   94.48    2.5    138     1 |    0.66   0.13  -0.15   0.00
0  5.71e+07   94.48 |   91.21    3.1    136     1 |    0.33   0.07   0.07   0.00
0  5.71e+07   95.30 |
0  5.71e+07   95.30 |   95.30    1.2    140     0 |    0.46   0.25  -0.09   0.00
0  5.71e+07   95.30 |   -5.11    1.0    166     3 |   -0.03   0.08  -0.05   0.00
0  5.72e+07   95.30 |   13.83    9.4    177     3 |    0.11   0.04  -0.11   0.00
0  5.72e+07   95.30 |   21.50    1.4    181     8 |    0.09   0.03  -0.06   0.00
0  5.72e+07   95.30 |    1.64    4.4    275    28 |    0.03   0.06  -0.06   0.00
0  5.73e+07   95.30 |   18.48    5.2    225    15 |    0.07   0.03  -0.01   0.00
0  5.73e+07   95.30 |  -15.88    1.1    227    12 |   -0.06   0.04   0.12   0.00
0  5.73e+07   95.30 |   -7.12   15.0    264    21 |    0.02   0.03   0.17   0.00
0  5.74e+07   95.30 |   -7.13    3.7    215     7 |   -0.06   0.05   0.15   0.00
0  5.74e+07   95.30 |    7.65    5.4    205    10 |    0.03   0.02  -0.09   0.00
0  5.74e+07   95.30 |   15.20    3.6    239     4 |    0.14   0.05  -0.00   0.00
0  5.75e+07   95.30 |   11.38   12.3    278    18 |    0.05   0.07   0.04   0.00
0  5.75e+07   95.30 |   27.78    1.3    218     1 |    0.12   0.10   0.01   0.00
0  5.75e+07   95.30 |   33.97    3.2    249     3 |    0.15   0.01   0.22   0.00
0  5.76e+07   95.30 |   28.10    7.0    295     7 |    0.26   0.04   0.21   0.00
0  5.76e+07   95.30 |   31.52    3.1    231    55 |    0.26   0.07  -0.05   0.00
0  5.76e+07   95.30 |   25.27    5.3    313     7 |    0.21   0.06   0.13   0.00
0  5.77e+07   95.30 |   40.13    3.2    253     3 |    0.34   0.13  -0.04   0.00
0  5.77e+07   95.30 |   63.33   22.2    172    39 |    0.26   0.05  -0.13   0.00
0  5.77e+07   95.30 |   43.97    1.1    271     2 |    0.37   0.02  -0.00   0.00
0  5.78e+07   95.30 |   63.94   24.5    185    52 |    0.40   0.09   0.13   0.00
0  5.78e+07   95.30 |   41.44   15.3    174    47 |    0.38   0.07  -0.06   0.00
0  5.78e+07   95.30 |   39.75    0.6    176    23 |    0.39   0.10  -0.11   0.00
0  5.79e+07   95.30 |   42.49   22.0    130     1 |    0.49   0.14  -0.05   0.00
0  5.79e+07   95.30 |   78.96    8.1    125     0 |    0.57   0.11  -0.10   0.00
0  5.79e+07   95.30 |    2.54    0.8     96     2 |    0.02   0.23   0.20   0.00
0  5.80e+07   95.30 |   32.89   11.2    130     1 |    0.18   0.10  -0.06   0.00
0  5.80e+07   95.30 |  -45.86    0.2     94     1 |   -0.50   0.01   0.11   0.00
0  5.80e+07   95.30 |    3.07    0.4    110     2 |   -0.03   0.28  -0.06   0.00
0  5.81e+07   95.30 |    1.90    0.8     98     2 |    0.02   0.22   0.10   0.00
0  5.81e+07   95.30 |  -46.73    0.3     92     3 |   -0.50   0.01   0.11   0.00
0  5.81e+07   95.30 |  -45.52    0.5     98     3 |   -0.48   0.00  -0.02   0.00
0  5.82e+07   95.30 |    3.05    0.2    112     2 |   -0.22   0.43   0.16   0.00
0  5.82e+07   95.30 |    9.90    0.6    128     1 |    0.06   0.01  -0.03   0.00
0  5.82e+07   95.30 |   22.51    2.2    158     6 |    0.13   0.02   0.03   0.00
0  5.82e+07   95.30 |   20.48    5.1    168     4 |    0.13   0.10  -0.04   0.00
0  5.83e+07   95.30 |   22.45    2.7    173     6 |    0.23   0.02   0.01   0.00
0  5.83e+07   95.30 |   46.11   24.1    148    20 |    0.36   0.10   0.06   0.00
0  5.83e+07   95.30 |   59.44   14.4    137    26 |    0.33   0.17  -0.10   0.00
0  5.84e+07   95.30 |   77.00   28.4    146    29 |    0.25   0.04  -0.10   0.00
0  5.84e+07   95.30 |   56.53   21.3    168    39 |    0.29   0.04   0.16   0.00
0  5.84e+07   95.30 |   71.98   26.6    140    22 |    0.29   0.26   0.02   0.00
0  5.85e+07   95.30 |    9.97    0.4    116     1 |    0.07   0.02  -0.04   0.00
0  5.85e+07   95.30 |   10.19    1.0    119     1 |    0.08   0.01   0.15   0.00
0  5.85e+07   95.30 |   10.49    0.6    120     1 |    0.08   0.01   0.02   0.00
0  5.86e+07   95.30 |   11.15    1.0    126     2 |    0.09   0.02  -0.04   0.00
0  5.86e+07   95.30 |  -14.46   15.2    127     1 |    0.01   0.29   0.09   0.00
0  5.86e+07   95.30 |   11.73    1.2    126     0 |    0.08   0.01   0.00   0.00
0  5.87e+07   95.30 |    5.83   14.6    130     4 |    0.09   0.01   0.03   0.00
0  5.87e+07   95.30 |    6.07   14.1    131    10 |    0.04   0.14  -0.00   0.00
0  5.87e+07   95.30 |  -26.92    1.8    118     2 |   -0.16   0.45   0.15   0.00
0  5.88e+07   95.30 |   -4.32   16.8    128     1 |   -0.09   0.31   0.03   0.00
0  5.88e+07   95.30 |    3.14   15.5    128     0 |    0.01   0.17   0.03   0.00
0  5.88e+07   95.30 |    8.89    0.6    124     0 |    0.07   0.01  -0.00   0.00
0  5.89e+07   95.30 |   10.42    0.5    128     2 |    0.05   0.05  -0.09   0.00
0  5.89e+07   95.30 |   -8.25   18.9    136     4 |   -0.01   0.01   0.11   0.00
0  5.89e+07   95.30 |   11.56    0.8    126     2 |    0.06   0.17   0.06   0.00
0  5.90e+07   95.30 |   13.48    0.6    126     2 |    0.09   0.01   0.08   0.00
0  5.90e+07   95.30 |   13.49    0.9    125     1 |    0.04   0.09  -0.18   0.00
0  5.90e+07   95.30 |   14.77    0.9    122     0 |    0.11   0.00   0.05   0.00
0  5.91e+07   95.30 |  -16.37    1.4    144     2 |   -0.15   0.01  -0.01   0.00
0  5.91e+07   95.30 |  -11.46    2.4    160     4 |   -0.11   0.02   0.05   0.00
0  5.91e+07   95.30 |   -6.30    1.7    165     1 |   -0.04   0.03   0.13   0.00
0  5.92e+07   95.30 |   -5.20    3.5    173     5 |    0.05   0.06  -0.04   0.00
